"blueWins","blueWardsPlaced","redWardsPlaced","blueWardsDestroyed","redWardsDestroyed","blueFirstBlood","blueTotalMinionsKilled","redTotalMinionsKilled","blueKills","redKills","blueEliteMonsters","redEliteMonsters","blueDragons","redDragons","blueHeralds","redHeralds","blueTotalGold","redTotalGold","blueTotalExperience","redTotalExperience","blueAvgLevel","redAvgLevel","",""
"1","39","16","1","1","0","220","222","7","5","1","0","1","0","0","0","16460","16437","17849","18187","7","7","",""
"0","15","19","2","3","0","223","170","7","11","0","2","0","1","0","1","16364","17929","16467","18219","6.4","7","",""
"1","16","19","4","2","1","216","233","6","3","0","1","0","1","0","0","16434","14889","18132","16308","6.8","6.4","",""
"0","16","17","1","1","1","224","226","9","4","0","0","0","0","0","0","17685","15425","17947","17699","7","7","",""
"1","110","40","0","1","0","216","228","6","10","0","1","0","1","0","0","16506","19041","16828","19482","6.8","7.4","",""
"1","15","37","2","1","0","212","187","9","6","0","1","0","0","0","1","17174","15660","18060","16639","6.8","6.8","",""
"1","12","24","4","2","0","227","218","3","5","0","2","0","1","0","1","14771","16197","17825","17851","7","7","",""
"1","15","41","13","1","1","182","225","6","8","1","0","1","0","0","0","16359","18773","15794","18881","6.4","7.2","",""
"1","15","16","4","1","0","219","164","5","5","1","1","1","0","0","1","15871","14864","18125","17020","7","6.8","",""
"1","16","15","5","2","1","256","207","6","2","1","0","1","0","0","0","18215","13466","18418","14838","7.2","6.2","",""
"1","14","15","1","2","1","214","219","5","8","0","0","0","0","0","0","15747","17105","17856","18919","7","7","",""
"1","11","14","3","3","0","209","225","7","3","0","0","0","0","0","0","16464","14990","18030","17067","7.2","6.6","",""
"1","19","14","1","4","1","196","185","8","2","0","1","0","0","0","1","16424","13836","17611","16068","6.8","6.6","",""
"0","20","17","3","3","0","201","243","9","8","1","0","1","0","0","0","17494","17480","17832","17630","6.8","7","",""
"1","40","18","4","2","1","228","208","8","1","1","1","0","1","1","0","18691","13332","20672","15682","7.2","6.4","",""
"0","16","13","4","3","0","218","229","7","11","1","0","0","0","1","0","16446","20066","18130","18412","7","6.8","",""
"0","14","13","3","2","1","184","228","7","10","0","0","0","0","0","0","16259","18554","16527","19043","6.8","7.2","",""
"0","17","40","2","2","1","211","215","4","11","1","0","1","0","0","0","16231","19163","18316","20451","7.2","7.4","",""
"0","42","19","1","5","1","196","172","7","3","1","0","1","0","0","0","16146","14109","16204","16485","6.6","6.4","",""
"1","19","14","3","0","1","191","206","9","6","1","0","1","0","0","0","17344","16352","17484","18093","6.8","7","",""
"1","15","14","0","2","0","203","212","8","5","0","0","0","0","0","0","17327","15759","18655","18044","7","7","",""
"0","11","15","4","2","1","215","211","6","7","1","1","0","1","1","0","16568","17295","18066","17744","7","7","",""
"0","16","14","2","3","1","241","238","3","4","0","1","0","1","0","0","15732","15917","18040","17995","7","7","",""
"1","55","17","3","4","1","228","215","7","5","0","1","0","1","0","0","16812","15490","19678","17402","7","6.6","",""
"1","17","16","7","4","1","273","253","4","2","0","0","0","0","0","0","16452","15384","19307","18689","7.2","7.2","",""
"1","17","14","2","6","1","249","234","6","3","1","0","1","0","0","0","17427","15452","19221","17788","7","7","",""
"1","18","15","3","0","0","207","190","7","3","1","0","1","0","0","0","16892","14501","18221","16495","7","6.6","",""
"1","25","75","1","2","0","252","235","5","5","0","0","0","0","0","0","17003","16433","18752","18384","7.2","7.2","",""
"0","46","40","4","4","1","205","223","7","4","1","0","1","0","0","0","16836","15698","18457","16699","7.2","6.6","",""
"0","15","12","0","2","0","181","240","3","11","1","1","1","0","0","1","14434","21406","16488","20444","6.6","7.6","",""
"1","12","28","4","1","0","202","189","7","7","0","2","0","1","0","1","16696","17118","17704","17747","6.8","7","",""
"1","26","10","1","3","1","182","201","8","1","1","0","1","0","0","0","16974","14068","18550","16190","7.2","6.4","",""
"0","15","25","3","5","0","178","260","2","6","1","1","1","0","0","1","13653","18219","17299","19331","7","7.2","",""
"0","15","15","2","0","0","222","191","1","4","1","0","1","0","0","0","13934","15505","17303","17996","6.8","7","",""
"0","75","20","1","5","0","214","237","0","7","0","0","0","0","0","0","13405","16961","15825","18775","6.6","7","",""
"1","42","14","5","5","1","225","184","10","6","2","0","1","0","1","0","18747","15732","19584","16517","7.2","6.8","",""
"1","12","21","8","5","0","217","220","3","4","1","1","0","1","1","0","15156","15480","18116","16465","7","6.6","",""
"1","33","12","2","1","0","198","247","11","7","1","0","1","0","0","0","19241","17891","18942","18365","7","7","",""
"1","14","14","2","2","0","176","216","7","5","1","0","1","0","0","0","15866","15472","17452","17507","6.8","6.8","",""
"1","24","38","5","5","0","226","218","3","5","1","1","1","0","0","1","14247","15844","16806","17521","6.6","6.8","",""
"0","17","19","2","0","0","167","234","3","8","0","1","0","1","0","0","13493","18848","14240","20129","6.2","7.4","",""
"1","16","17","4","3","1","238","224","4","5","1","0","1","0","0","0","15855","15710","18078","17106","7","6.6","",""
"1","18","39","1","2","1","231","196","1","1","1","1","0","1","1","0","15186","14066","17891","17414","7","6.8","",""
"1","37","22","5","1","1","188","203","10","7","1","0","1","0","0","0","17176","17077","17299","17022","6.8","6.6","",""
"1","18","207","6","1","0","226","243","5","5","2","0","1","0","1","0","16947","15967","18756","18353","7.2","6.8","",""
"1","15","14","2","2","1","234","211","11","2","1","0","1","0","0","0","19528","14177","19357","15808","7.2","6.4","",""
"0","14","55","2","3","0","206","237","1","6","0","1","0","1","0","0","13775","16265","17108","18218","6.8","7.2","",""
"1","19","14","3","5","1","247","194","10","5","2","0","1","0","1","0","18418","14668","18311","15569","7","6.4","",""
"1","50","15","2","0","1","189","210","3","4","0","1","0","1","0","0","14815","15570","16774","18364","6.4","7","",""
"1","16","10","2","2","1","242","214","13","8","1","0","0","0","1","0","21728","17567","20117","17526","7.4","6.8","",""
"0","15","19","2","2","1","243","233","5","2","1","0","1","0","0","0","16348","14872","18350","17201","7","6.8","",""
"0","14","16","3","0","0","231","223","6","5","2","0","1","0","1","0","16302","15966","18772","17836","7.2","7","",""
"0","18","29","3","5","1","216","236","3","5","1","1","0","1","1","0","15410","15644","17797","18203","6.8","7","",""
"0","18","14","2","5","1","216","216","4","8","0","1","0","1","0","0","15119","17020","16105","19216","6.4","7.2","",""
"0","13","14","0","2","1","201","228","7","8","0","2","0","1","0","1","16561","17080","17480","18123","7","7","",""
"0","14","15","5","2","0","180","226","1","5","0","2","0","1","0","1","13736","16037","15897","18556","6.6","7.2","",""
"0","18","19","4","3","1","222","199","4","5","1","1","0","1","1","0","15481","15000","17390","16413","6.6","6.4","",""
"0","18","18","6","4","0","227","256","4","6","0","2","0","1","0","1","15967","17380","18406","19708","7","7.2","",""
"1","77","52","3","3","0","223","236","5","6","0","1","0","1","0","0","16627","16762","18363","19360","7","7","",""
"1","14","14","4","1","0","190","186","9","8","0","1","0","0","0","1","17087","16645","17623","17768","6.8","6.8","",""
"1","48","19","5","1","0","246","213","6","3","1","0","1","0","0","0","17612","15256","19905","17474","7.6","7","",""
"0","56","17","3","4","1","205","218","8","6","0","1","0","1","0","0","16731","16465","16329","17241","6.4","6.6","",""
"1","24","18","3","1","0","202","218","12","8","1","0","1","0","0","0","18360","17835","17412","16936","6.8","6.6","",""
"1","15","16","7","4","1","237","224","8","4","1","0","0","0","1","0","18075","15216","19469","16525","7.4","6.6","",""
"0","42","18","5","2","1","247","209","10","5","0","2","0","1","0","1","19636","15383","19567","16836","7.2","6.6","",""
"1","12","15","2","2","1","234","240","6","2","1","1","0","1","1","0","16897","14974","18652","17352","7","6.8","",""
"0","12","19","3","1","1","211","255","4","5","0","1","0","0","0","1","14538","17816","16373","18246","6.6","7.2","",""
"1","18","20","3","2","0","224","162","2","8","0","0","0","0","0","0","14868","16014","17584","18025","6.6","6.8","",""
"1","18","18","3","4","1","250","215","14","5","1","0","1","0","0","0","20979","16888","20534","17142","7.6","6.8","",""
"1","18","22","6","3","0","249","240","4","6","0","1","0","1","0","0","16513","16892","18383","17658","6.8","6.8","",""
"1","15","14","4","3","0","210","232","4","4","1","1","1","0","0","1","16180","15704","18032","17932","7","6.8","",""
"1","23","37","2","2","1","195","202","6","3","0","0","0","0","0","0","16050","14009","17867","16578","7","6.4","",""
"0","22","13","0","0","0","210","223","2","5","0","0","0","0","0","0","14428","15980","16758","18264","6.6","6.8","",""
"0","17","15","3","3","0","194","186","6","14","0","0","0","0","0","0","16150","18393","16419","18443","6.6","7","",""
"0","54","14","2","1","1","227","209","7","3","0","0","0","0","0","0","17576","15339","18867","17019","7.2","6.8","",""
"1","41","59","2","5","0","187","248","4","4","1","0","1","0","0","0","14990","16385","17315","18026","6.8","7","",""
"1","16","15","2","2","0","220","225","8","8","1","1","1","0","0","1","17664","17407","19310","17645","7","6.8","",""
"0","18","21","6","3","1","235","203","4","3","1","0","1","0","0","0","16114","14791","17563","17538","7","6.8","",""
"0","15","39","1","1","1","230","231","3","6","1","0","1","0","0","0","15299","16173","17076","18352","6.4","7","",""
"1","18","19","5","4","1","257","197","10","2","2","0","1","0","1","0","18912","14347","17839","15760","7","6.2","",""
"1","17","17","8","1","1","246","154","7","4","1","1","0","1","1","0","19915","14629","18674","15091","7.2","6.2","",""
"1","14","16","2","4","1","207","185","7","6","1","1","0","1","1","0","18273","15729","17500","16638","6.8","6.6","",""
"0","15","52","1","1","0","219","213","4","5","1","0","1","0","0","0","15158","16687","17680","18857","7","7.2","",""
"1","18","17","2","0","1","222","201","4","5","1","0","1","0","0","0","16086","15244","17616","18279","6.8","7","",""
"0","17","80","3","2","1","226","239","9","6","0","1","0","0","0","1","18626","16308","18656","18317","7.2","7.2","",""
"0","18","14","3","4","0","193","215","8","10","1","0","1","0","0","0","17048","18821","17097","19060","6.8","7.2","",""
"0","16","18","1","2","1","223","210","2","5","0","2","0","1","0","1","14819","15749","17986","18580","7","6.8","",""
"0","15","17","2","1","0","199","258","5","5","0","1","0","0","0","1","15082","16933","16399","18438","6.8","7","",""
"0","16","14","4","3","0","244","217","1","3","1","1","0","1","1","0","14605","14885","17830","16927","7","6.6","",""
"0","19","18","1","3","0","200","217","9","10","1","0","1","0","0","0","17063","18283","18195","18398","7.2","7.2","",""
"0","15","35","3","5","0","225","243","1","9","0","1","0","1","0","0","13881","18732","16482","20059","6.8","7.4","",""
"1","37","11","3","2","1","258","236","6","4","0","1","0","1","0","0","17180","15432","19599","18103","7","7","",""
"1","14","34","2","1","1","229","193","6","9","0","1","0","0","0","1","16978","18567","17957","20864","6.8","7.8","",""
"1","18","33","3","1","0","208","188","12","5","0","1","0","1","0","0","17827","16071","18481","17353","6.8","6.8","",""
"1","17","17","2","2","1","176","263","6","5","1","1","1","0","0","1","16168","17317","17052","18379","6.8","7","",""
"0","21","18","2","6","1","238","239","3","5","0","1","0","1","0","0","15544","16505","18015","19425","7","7.2","",""
"1","12","13","1","1","0","183","228","10","10","1","1","0","1","1","0","17566","18094","18896","19192","7.2","7.2","",""
"1","13","17","5","1","0","202","210","5","7","1","0","1","0","0","0","15293","16848","16208","17442","6.4","6.8","",""
"1","16","16","3","2","1","219","217","9","2","2","0","1","0","1","0","17303","14432","18705","16551","7","6.8","",""
"1","21","18","4","5","1","234","215","4","4","1","1","1","0","0","1","17201","16131","18839","17680","7.2","6.8","",""
"1","37","12","1","14","1","252","208","6","3","2","0","1","0","1","0","18742","15017","20148","17245","7.4","6.8","",""
"1","15","17","2","1","0","210","192","5","8","0","2","0","1","0","1","16519","16699","19018","16719","7.2","6.6","",""
"0","12","27","0","2","0","207","254","1","9","1","0","1","0","0","0","13727","18727","16509","21331","6.6","7.6","",""
"0","15","14","2","0","0","217","180","8","9","1","0","1","0","0","0","17617","16932","18094","16645","7","6.6","",""
"1","15","19","3","2","1","228","210","11","4","0","1","0","1","0","0","19432","15575","19227","16567","7.2","6.6","",""
"0","40","17","4","16","1","202","217","4","7","0","1","0","1","0","0","15280","16050","16650","18525","6.6","7.2","",""
"1","16","56","3","2","0","214","234","3","4","0","2","0","1","0","1","15496","16902","17876","19204","7","7.2","",""
"0","20","15","1","1","1","176","186","4","12","0","1","0","1","0","0","15263","17974","15892","16174","6.6","6.6","",""
"1","44","19","4","2","1","225","229","6","4","0","1","0","1","0","0","17012","16688","19091","18985","7.2","7.2","",""
"1","13","18","2","3","0","217","225","1","6","0","2","0","1","0","1","14168","17512","16884","19555","6.6","7.6","",""
"1","13","39","16","3","1","207","212","9","8","1","0","1","0","0","0","17060","16917","17673","16828","6.8","6.6","",""
"1","37","17","5","1","1","219","217","7","4","0","2","0","1","0","1","17053","15927","17515","17444","7","6.8","",""
"1","28","17","3","3","1","200","210","7","12","0","2","0","1","0","1","17185","19742","16416","18645","6.6","7.2","",""
"0","18","43","0","1","0","248","214","3","5","0","2","0","1","0","1","16690","17750","17992","18578","6.8","7","",""
"1","14","20","3","0","1","229","209","10","4","1","0","1","0","0","0","18246","15332","18509","16457","7","6.4","",""
"1","17","16","5","2","0","219","212","7","7","0","1","0","1","0","0","16310","15846","17712","17286","6.8","6.8","",""
"1","17","36","3","4","1","232","240","5","3","1","0","1","0","0","0","16766","15367","18841","18287","7.2","7","",""
"0","16","11","3","3","1","223","234","12","11","0","0","0","0","0","0","19460","18682","19643","18200","7.4","7","",""
"1","14","13","1","2","1","205","243","5","6","1","0","0","0","1","0","15307","16925","16772","17996","6.8","7","",""
"0","14","48","0","1","0","218","220","4","6","0","1","0","1","0","0","15908","17253","18133","17964","7","6.8","",""
"1","18","12","1","1","1","231","214","6","5","1","1","1","0","0","1","16966","16828","19311","18226","7.6","7","",""
"1","83","14","3","1","0","241","237","6","6","1","0","1","0","0","0","16995","17413","19978","19793","7.6","7.4","",""
"0","15","12","0","2","1","216","220","12","7","2","0","1","0","1","0","18292","17503","18884","17565","7","6.8","",""
"1","17","18","3","0","1","229","232","6","3","1","1","0","1","1","0","16481","15721","18642","18597","7","7","",""
"0","13","17","1","0","0","226","262","3","6","0","0","0","0","0","0","14907","17249","17149","19131","6.6","7.2","",""
"1","10","16","1","1","1","191","246","6","8","1","0","1","0","0","0","15108","17410","16485","18717","6.4","7","",""
"0","10","13","2","2","1","137","219","6","8","1","1","1","0","0","1","14779","17711","15595","18165","6.2","7.2","",""
"0","49","13","2","1","0","193","211","6","5","0","1","0","1","0","0","15739","15585","18231","18072","7.2","7","",""
"0","23","20","6","0","1","210","214","6","7","0","1","0","1","0","0","16660","16561","17061","18670","6.8","7","",""
"0","12","17","1","2","0","222","233","0","5","0","1","0","1","0","0","13561","16437","16632","18730","6.6","7","",""
"0","9","18","5","2","1","247","251","8","1","0","0","0","0","0","0","17761","15260","20143","17845","7.4","6.6","",""
"0","19","16","7","7","0","245","225","1","6","0","1","0","1","0","0","14910","16467","17888","18927","6.8","7.2","",""
"1","17","15","3","2","1","190","195","9","6","1","0","1","0","0","0","17410","15832","18627","18132","7","7","",""
"0","20","16","2","3","0","241","243","4","6","0","1","0","1","0","0","15518","17148","18114","18645","6.8","7.2","",""
"1","13","15","3","4","0","248","218","8","7","1","0","1","0","0","0","18261","16508","18602","17667","7.4","7","",""
"0","17","35","3","3","1","236","224","4","5","0","2","0","1","0","1","15574","15560","17216","17525","6.8","6.8","",""
"0","14","15","2","1","0","220","244","5","7","0","0","0","0","0","0","16565","16810","17659","18867","7","7","",""
"0","15","40","5","5","1","242","224","5","4","0","1","0","0","0","1","16163","15089","18437","17895","7","7","",""
"0","13","43","9","2","0","218","244","3","9","0","1","0","1","0","0","14724","18265","16015","18449","6.4","6.8","",""
"1","16","19","5","2","1","213","200","10","3","1","0","1","0","0","0","17953","15038","18275","16190","7.2","6.4","",""
"0","16","39","5","7","0","164","242","5","12","1","0","1","0","0","0","14819","19232","16721","20258","6.8","7.4","",""
"0","17","30","4","7","1","212","221","4","7","0","0","0","0","0","0","15025","16542","16369","17856","6.6","7","",""
"1","35","16","2","18","1","235","192","11","8","0","0","0","0","0","0","18302","16124","17304","17273","6.8","6.8","",""
"0","18","11","1","2","1","205","206","11","7","0","1","0","1","0","0","18197","16727","18621","17381","7","6.8","",""
"1","17","15","1","3","1","233","194","8","3","1","0","1","0","0","0","18363","13856","20337","16258","7.2","6.6","",""
"1","17","43","15","2","1","254","188","8","2","1","0","1","0","0","0","17543","13156","19535","16124","7.2","6.6","",""
"0","13","17","3","4","0","204","203","8","7","0","0","0","0","0","0","16973","16044","18421","16621","7","6.8","",""
"0","16","39","1","7","0","226","207","7","8","1","0","1","0","0","0","16586","17373","17047","18968","6.8","7.2","",""
"1","15","20","4","1","1","191","187","11","5","0","1","0","1","0","0","18106","15411","17783","15996","7","6.4","",""
"0","73","14","3","2","1","141","207","9","13","0","1","0","1","0","0","16300","19473","13423","17773","5.8","7","",""
"0","17","20","1","2","0","183","199","8","9","0","0","0","0","0","0","16397","17650","18004","17071","7","6.6","",""
"1","19","19","3","7","1","241","223","6","2","1","0","1","0","0","0","16948","14237","18641","16820","6.8","6.4","",""
"0","20","14","1","2","1","213","240","4","3","1","0","1","0","0","0","14992","15463","17756","18777","7","7.2","",""
"0","50","37","4","2","0","220","190","5","4","1","1","1","0","0","1","16560","15241","18049","17938","6.8","7","",""
"0","24","39","1","1","1","219","220","5","3","1","0","0","0","1","0","15759","15421","17563","18625","6.8","7","",""
"1","14","17","4","2","0","154","196","6","10","0","1","0","1","0","0","14711","16974","15177","17332","6.4","6.8","",""
"1","19","12","2","2","1","244","198","6","4","1","0","0","0","1","0","16940","14902","17896","17539","7","6.8","",""
"0","17","15","1","1","0","203","250","4","5","0","2","0","1","0","1","15218","17129","19074","20285","7","7.4","",""
"0","18","17","2","3","1","228","182","4","5","1","0","1","0","0","0","15466","14978","17220","16747","6.8","6.8","",""
"1","8","13","0","1","1","227","203","4","3","1","0","1","0","0","0","15278","14544","18693","18338","7","7.2","",""
"1","13","11","2","1","1","200","179","16","4","1","0","1","0","0","0","19651","14456","18318","16029","7","6.4","",""
"0","45","12","2","15","1","244","177","9","4","2","0","1","0","1","0","18233","14914","21650","16366","7.6","6.6","",""
"1","36","12","4","2","1","206","215","7","4","1","0","1","0","0","0","17470","15135","18062","17083","7","6.8","",""
"0","18","15","1","2","0","225","221","7","8","0","1","0","1","0","0","16768","17036","19368","19523","7.2","7.2","",""
"0","21","17","4","5","1","201","241","3","4","0","0","0","0","0","0","14509","15619","17194","18342","6.8","6.8","",""
"1","15","16","2","1","1","216","253","7","3","1","1","0","1","1","0","16178","15797","18656","18453","7.2","7","",""
"0","14","16","2","4","1","223","223","2","6","0","1","0","1","0","0","14333","15969","16812","18208","6.8","6.8","",""
"1","18","21","4","5","0","194","208","9","9","2","0","1","0","1","0","17732","18264","19451","19153","7.2","7.2","",""
"0","20","77","1","6","0","207","187","4","9","0","1","0","1","0","0","14695","17162","18090","18010","6.8","7.2","",""
"1","14","13","1","1","0","223","205","7","3","0","1","0","1","0","0","17800","15340","19085","17151","7","6.6","",""
"1","16","13","1","1","1","255","234","4","3","0","0","0","0","0","0","16048","14594","19032","17621","7.2","7","",""
"1","15","18","3","1","1","246","211","1","1","0","1","0","1","0","0","14163","13713","17413","16489","6.8","6.6","",""
"1","13","11","3","2","0","238","203","4","6","2","0","1","0","1","0","15695","15995","18493","18042","7.2","7.2","",""
"0","39","17","4","2","0","218","256","3","6","1","0","1","0","0","0","14844","17187","17179","19367","6.8","7.2","",""
"0","12","15","1","3","1","175","184","9","10","0","1","0","1","0","0","15974","16982","16903","18419","6.6","7","",""
"1","18","25","0","1","1","240","264","3","7","0","1","0","1","0","0","14995","17437","17661","18911","7","7.2","",""
"0","15","16","0","2","0","218","231","4","12","0","2","0","1","0","1","14799","19539","15917","18998","6.6","7","",""
"0","16","19","5","2","0","167","229","10","11","0","2","0","1","0","1","17056","18659","17190","18596","6.6","7","",""
"0","14","40","2","2","0","192","232","7","6","1","1","1","0","0","1","16243","16798","17548","19010","6.8","7.2","",""
"0","17","26","1","1","0","157","239","11","10","1","1","1","0","0","1","17892","19253","16641","17672","6.8","6.8","",""
"1","16","14","3","2","1","243","213","6","3","1","1","1","0","0","1","16508","14484","17714","15735","6.6","6.4","",""
"1","20","14","3","4","0","242","240","4","2","0","0","0","0","0","0","16568","14728","18658","16788","6.8","6.6","",""
"1","16","13","1","1","0","231","232","5","5","0","1","0","1","0","0","16503","15813","18765","18400","7.2","7.2","",""
"0","60","13","2","5","1","185","219","9","9","1","0","1","0","0","0","17459","17557","18018","19154","7","7.2","",""
"1","11","91","1","2","1","222","198","7","7","0","2","0","1","0","1","17024","16827","19375","17492","7.2","7","",""
"1","21","11","3","5","1","252","197","5","4","0","0","0","0","0","0","16660","15086","18272","17205","6.8","6.8","",""
"0","15","13","0","1","0","207","220","2","9","0","1","0","1","0","0","14244","17797","16850","18580","6.6","7","",""
"0","14","20","4","2","1","226","196","1","10","0","0","0","0","0","0","14041","19203","15172","18782","6.4","7.2","",""
"1","37","23","4","1","1","232","214","4","2","1","0","1","0","0","0","16752","14542","19777","17366","7.4","6.6","",""
"1","18","19","1","2","1","203","213","8","2","1","1","0","1","1","0","17563","14153","18032","15974","7.2","6.4","",""
"1","23","20","2","6","1","231","236","6","6","1","0","1","0","0","0","17262","17011","19094","19168","7","7.2","",""
"1","15","19","2","1","1","186","222","9","3","0","0","0","0","0","0","17438","14420","18257","16262","7","6.6","",""
"0","14","14","2","2","0","180","228","3","8","0","2","0","1","0","1","14275","17689","15474","19221","6.4","7.2","",""
"1","18","17","3","5","1","220","171","7","4","1","1","1","0","0","1","16753","14738","17461","16604","6.8","6.4","",""
"1","14","15","3","4","1","224","218","8","4","1","0","1","0","0","0","17163","15741","19382","18607","7.2","7.2","",""
"0","46","14","3","4","0","214","223","5","6","0","0","0","0","0","0","15750","17477","17334","17953","7","6.8","",""
"1","18","20","5","1","1","211","190","7","6","0","1","0","0","0","1","15954","15300","16128","15305","6.8","6.2","",""
"1","16","11","5","3","1","240","186","9","3","2","0","1","0","1","0","18293","14602","19981","17176","7.2","7","",""
"0","17","14","2","3","1","212","175","13","5","0","0","0","0","0","0","19336","14709","19116","14332","7.2","6","",""
"0","15","17","3","3","1","205","230","2","8","1","0","0","0","1","0","14014","17457","16219","18503","6.6","7.2","",""
"0","17","13","1","2","0","211","223","6","6","2","0","1","0","1","0","16207","17026","17381","19210","7","7","",""
"1","17","16","2","1","0","255","244","4","1","0","2","0","1","0","1","16654","14798","19392","17862","7.2","6.8","",""
"1","15","20","5","5","0","233","203","4","4","0","1","0","1","0","0","16711","14952","19807","17283","7.4","6.8","",""
"0","15","14","3","2","1","200","250","7","3","1","0","1","0","0","0","16578","15419","18139","16629","7","6.6","",""
"1","42","58","4","8","0","227","212","4","8","1","0","1","0","0","0","16220","16664","17447","17631","6.8","7","",""
"0","138","15","4","3","0","199","193","6","4","0","1","0","1","0","0","15096","15216","15415","17035","6.2","6.4","",""
"1","18","31","2","4","1","192","185","10","8","1","0","0","0","1","0","18426","16933","18454","18252","7.2","7","",""
"1","14","13","2","3","1","212","215","11","3","1","0","1","0","0","0","18758","14423","18710","16386","7","6.6","",""
"0","16","17","4","2","1","204","233","4","7","0","1","0","1","0","0","15928","16863","18170","18174","7.2","6.8","",""
"1","15","13","3","3","1","215","220","6","3","1","0","1","0","0","0","16233","15152","18524","18325","7","7.2","",""
"1","13","32","1","2","1","175","223","8","8","1","1","1","0","0","1","16493","17355","17450","19184","7","7.2","",""
"0","56","14","1","2","0","210","218","6","10","1","1","0","1","1","0","15633","18403","17605","19952","6.8","7.2","",""
"1","57","16","4","0","0","237","204","7","2","2","0","1","0","1","0","17750","14077","20138","17382","7.4","6.8","",""
"0","21","18","2","3","0","213","226","5","14","0","1","0","0","0","1","16251","21110","16548","19504","6.8","7.2","",""
"1","15","12","1","2","1","244","247","7","7","0","1","0","1","0","0","17627","17199","18282","18247","7","7","",""
"0","18","21","5","6","1","253","216","5","10","1","0","1","0","0","0","17315","18048","19378","20947","7.4","7.6","",""
"0","17","21","4","2","0","237","191","4","5","0","1","0","1","0","0","15663","14727","18122","16745","7","6.6","",""
"0","15","17","3","2","0","233","226","2","4","0","2","0","1","0","1","14865","16044","18385","17739","7","6.8","",""
"1","20","15","3","5","1","235","247","5","2","0","0","0","0","0","0","16230","15298","18489","17947","7","7.2","",""
"1","11","50","2","0","0","247","222","5","5","0","0","0","0","0","0","16065","15521","20238","18175","7.4","6.8","",""
"0","15","14","2","3","0","223","231","7","5","1","0","1","0","0","0","17049","17154","20151","18270","7.4","7.2","",""
"0","14","13","2","2","0","212","243","4","3","1","0","1","0","0","0","15412","15699","18001","19046","7","7","",""
"1","14","28","1","2","1","200","223","10","8","0","1","0","1","0","0","17949","16897","19069","18729","7","7","",""
"1","16","36","2","3","1","220","197","6","4","0","0","0","0","0","0","16938","14793","17614","17930","7","6.8","",""
"0","25","16","3","8","1","193","247","4","8","0","1","0","1","0","0","14627","18587","16086","20091","6.6","7.6","",""
"0","18","14","5","1","0","222","240","6","3","0","1","0","1","0","0","16485","15388","18759","18048","7","7","",""
"0","90","18","1","4","1","217","227","4","5","0","1","0","1","0","0","15246","15917","17687","18425","7","7","",""
"0","58","23","2","2","0","201","225","10","9","1","0","1","0","0","0","17583","17819","17639","18717","7","7.2","",""
"1","14","12","2","2","1","254","170","10","6","1","0","1","0","0","0","18655","15443","19797","16552","7.6","6.8","",""
"1","41","19","3","3","1","219","221","7","7","1","0","1","0","0","0","16875","17670","18112","17876","6.8","6.8","",""
"1","15","15","4","3","1","247","219","6","1","1","1","0","1","1","0","17872","14328","19324","17241","7.2","6.8","",""
"1","14","13","1","2","1","197","194","7","6","2","0","1","0","1","0","16574","15605","17377","17419","6.8","6.6","",""
"0","15","12","4","5","1","222","195","9","5","0","1","0","1","0","0","17651","15303","18199","17066","7","6.8","",""
"0","78","13","1","2","1","183","238","4","10","0","1","0","1","0","0","15035","18619","16650","19898","6.4","7.6","",""
"1","18","20","4","3","1","236","235","5","5","2","0","1","0","1","0","16399","16069","17698","18173","7","6.8","",""
"0","10","43","4","0","0","221","198","8","8","1","0","0","0","1","0","18236","17124","18690","18487","7","7","",""
"1","16","14","1","4","1","219","246","5","3","0","1","0","1","0","0","15782","15503","18450","18058","7","7","",""
"0","60","16","4","6","1","226","210","7","3","1","0","1","0","0","0","16938","15422","18699","18273","7","7","",""
"0","11","16","0","3","0","156","220","5","10","0","1","0","1","0","0","14740","18969","15556","19740","6.4","7.4","",""
"0","10","15","1","2","0","169","178","5","12","0","0","0","0","0","0","15299","18410","17019","19305","7","7","",""
"1","10","17","2","0","1","206","153","8","5","0","0","0","0","0","0","17615","13929","18307","16836","7","6.6","",""
"1","16","13","4","2","1","225","213","13","3","1","0","1","0","0","0","20955","15819","19806","17021","7.2","6.8","",""
"1","16","24","2","2","1","245","225","6","2","0","0","0","0","0","0","16636","15242","19834","18466","7.4","7","",""
"0","14","59","2","1","0","221","243","0","4","1","1","0","1","1","0","13805","15814","17253","19649","6.8","7.2","",""
"0","18","14","4","4","1","204","186","11","10","0","0","0","0","0","0","18453","17987","18299","18615","7","7.4","",""
"0","17","29","1","4","0","171","231","5","13","0","1","0","1","0","0","14642","19600","15033","17421","6.2","7","",""
"0","39","46","1","2","0","207","221","3","7","0","2","0","1","0","1","14503","17328","16807","19304","6.8","7.2","",""
"0","18","16","3","6","0","234","262","3","7","1","0","1","0","0","0","15335","17051","17368","18969","6.6","7.2","",""
"0","43","15","1","4","1","176","186","6","8","0","0","0","0","0","0","15629","17166","16806","17732","6.8","7","",""
"0","16","19","1","3","0","195","233","5","12","0","1","0","1","0","0","15782","18489","16172","18308","6.4","7","",""
"1","17","12","2","4","1","234","214","12","5","1","0","1","0","0","0","18685","15828","18421","17015","6.8","6.8","",""
"1","16","16","2","1","0","214","238","2","9","1","0","1","0","0","0","14901","18107","16696","18865","6.8","7.2","",""
